ticker ,Name of Company
KICL-EQ.NS,KALYANI INVESTMENT COMPANY LIMI
MRF.NS,MRF Limited
TATASTEEL.NS,Tata Steel Limited
RELIANCE.NS,Reliance Industries Limited
NOCIL.NS,NOCIL Limited
ICIL.NS,Indo Count Industries Limited
TCS.NS,Tata Consultancy Services Limited
SURANAIND.NS,Surana Industries Limited
SASKEN.NS,Sasken Technologies Limited
RELINFRA.NS,Reliance Infrastructure Limited
PRAJIND.NS,Praj Industries Limited
NICCO.NS,Nicco Corporation Limited
MARUTI.NS,Maruti Suzuki India Limited
LUPIN.NS,Lupin Limited
CAIRN.NS,Cairn India Limited
ZENITHBIR.NS,Zenith Birla (India) Limited
YESBANK.NS,Yes Bank Limited
XPROINDIA.NS,Xpro India Limited
VOLTAS.NS,Voltas Limited
VISAKAIND.NS,Visaka Industries Limited
USHERAGRO.NS,Usher Agro Limited
UFO.NS,UFO Moviez India Limited
UFLEX.NS,Uflex Limited
TV18BRDCST.NS,TV18 Broadcast Limited
TRIGYN.NS,Trigyn Technologies Limited
TRENT.NS,Trent Limited
TIDEWATER.NS,"Tide Water Oil Co. (India), Ltd."
TECHM.NS,Tech Mahindra Limited
TATAMOTORS.NS,Tata Motors Limited
TATACHEM.NS,Tata Chemicals Limited
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited
SUJANAUNI.NS,Sujana Universal Industries Limited
SUBROS.NS,Subros
SOUTHBANK.NS,The South Indian Bank Limited
SKFINDIA.NS,SKF India Limited
SIEMENS.NS,Siemens Limited
MURLIIND.NS,Murli Industries Ltd.
MINDTREE.NS,Mindtree Limited
MINDAIND.NS,Minda Industries Limited
MEGASOFT.NS,Megasoft Limited
MCDOWELL-N.NS,UNITED SPIRITS INR10
MAGNUM.NS,Magnum Ventures Limited
SABTN.NS,Sri Adhikari Brothers Television Network Limited
PNC.NS,Pritish Nandy Communications Ltd
NTPC.NS,NTPC Limited
NCLIND.NS,NCL Industries Limited
NBCC.NS,NBCC (India) Limited
UNITEDTEA.NS,The United Nilgiri Tea Estates Company Limited
RAMANEWS.NS,Shree Rama Newsprint Limited
NMDC.NS,NMDC Limited
NIITLTD.NS,NIIT Limited
NHPC.NS,NHPC Limited
NELCO.NS,Nelco Limited
NELCAST.NS,Nelcast Limited
NECCLTD.NS,North Eastern Carrying Corporation Limited
CONCOR.NS,Container Corporation of India Limited
UNIONBANK.NS,Union Bank of India
STOREONE.NS,SORIL Infra Resources Limited
OUDHSUG.NS,The Oudh Sugar Mills Limited
ORBITCORP.NS,Orbit Corporation Limited
OMAXE.NS,Omaxe Limited
OMAXAUTO.NS,Omax Autos Limited
OIL.NS,Oil India Limited
OBEROIRLTY.NS,Oberoi Realty Limited
MCX.NS,Multi Commodity Exchange of India Limited
M100.NS,Motilal Oswal MOSt Shares Midcap 100 ETF
LAOPALA.NS,La Opala RG Limited
BIRLAERIC.NS,Birla Cable Limited
BANKINDIA.NS,Bank of India Limited
BANG.NS,Bang Overseas Limited
ABAN.NS,Aban Offshore Limited
ONWARDTEC.NS,Onward Technologies Limited
SHIV-VANI-EQ.NS,SHIV-VANI-EQ.NS
SABERORGA.NS,SABERO ORGANICS GUJRAT
TCI.NS,Transport Corporation of India Limited
ORIENTBELL.NS,Orient Bell Limited
ORTINLABSS-BE.NS,Ortin Laboratories Ltd
ORBTEXP-EQ.NS,ORBIT EXPORTS LTD INR10
SVOGL.NS,SVOGL Oil Gas and Energy Limited
QUINTEGRA.NS,Quintegra Solutions Limited
QUICKHEAL.NS,Quick Heal Technologies Limited
QGOLDHALF.NS,Quantum Gold ETF
QUINTEGRA-EQ.NS,QUINTEGRA SOLUTIONS LTD.
QNIFTY.NS,Quantum Index ETF
RUCHISOYA.NS,Ruchi Soya Industries Limited
INDOCO.NS,Indoco Remedies Limited
GOKUL-BE.NS,GOKUL REFOILS & SO INR2
TEXRAIL.NS,Texmaco Rail & Engineering Limited
UTTAMVALUE.NS,Uttam Value Steels Limited
UTTAMSTL.NS,Uttam Galva Steels Limited
USHAMART.NS,Usha Martin Limited
UNITECH.NS,Unitech Limited
UNIPLY.NS,Uniply Industries Limited
UNIENTER.NS,Uniphos Enterprises Ltd.
UMESLTD.NS,Usha Martin Education & Solutions Limited
UGARSUGAR.NS,The Ugar Sugar Works Limited
CUB.NS,City Union Bank Limited
BVCL.NS,Barak Valley Cements Limited
VSTTILLERS.NS,V.S.T. Tillers Tractors Limited
VSTIND.NS,VST Industries Limited
VOLTAMP.NS,Voltamp Transformers Limited
VISUINTL.NS,Ed & Tech international Limited
VIPIND.NS,VIP Industries Limited
VIMTALABS.NS,Vimta Labs Limited
VIDEOIND.NS,Videocon Industries Limited
SPECTACLE.NS,Spectacle Ventures Limited
HOTELEELA.NS,Hotel Leelaventure Limited
HMVL.NS,Hindustan Media Ventures Limited
VLSFINANCE.NS,VLS Finance Limited
VISUINTL-EQ.NS,VISU INTERNATIONAL INR10
VALECHAENG-EQ.NS,VALECHA ENGINEERIN INR10
VIDHIDYE.NS,Vidhi Specialty Food Ingredients Limited
VARDMNPOLY-EQ.NS,VARDHMAN POLYTEX INR10
GEECEE-EQ.NS,GEECEE VENTURES LIMITED
VALECHAENG.NS,Valecha Engineering Limited
HINDUJAVEN.NS,Hinduja Ventures Limited
VSSL-EQ.NS,VARDHMAN SPECIAL STEELS LIMITED
VIKASECO-EQ.NS,VIKAS ECOTECH LIMI INR1
SPECTACLE-EQ.NS,SPEC VENTURES LTD INR1
SMCSRVIRD-MF.NS,SUNDARAM ASSET MAN MICRO CAP VI
VTXIND-BE.NS,VTXIND-BE.NS
VMART.NS,V-Mart Retail Limited
GEECEE.NS,GeeCee Ventures Limited
VINYLINDIA.NS,Vinyl Chemicals India Ltd.
GNFC.NS,Gujarat Narmada Valley Fertilizers & Chemicals Limited
VTXIND.NS,VTXIND.NS
VESUVIUS.NS,Vesuvius India Limited
VAIBHAVGBL.NS,Vaibhav Global Limited
VALUEIND-EQ.NS,VALUE INDUSTRIES LIMITED
VADILALIND.NS,Vadilal Industries Limited
UTTAMVALUE-EQ.NS,UTTAM VALUE STEELS INR1
VIDEOIND-EQ.NS,VIDEOCON INDUSTRIES LIMITED
VASWANI.NS,Vaswani Industries Limited
GLOBALVECT-BE.NS,GLOBAL VECTRA HELI INR10
WIPRO.NS,Wipro Limited
WANBURY.NS,Wanbury Limited
TODAYS.NS,Todays Writing Instruments Limited
IBWSL.NS,SORIL Holdings and Ventures Limited
FIRSTWIN.NS,First Winner Industries Limited
WINDMACHIN-EQ.NS,WINDSOR MACHINES INR2
WELSPUNIND.NS,Welspun India Limited
WEBELSOLAR.NS,Websol Energy System Limited
WELSYNTEX-EQ.NS,WELSPUN SYNTEX
WABCOINDIA.NS,Wabco India Limited
WSTCSTPAPR-EQ.NS,WEST COAST PAPER M INR2.00
RAIREKMOH.NS,The Rai Saheb Rekhchand Mohota Spinning & Weaving Mills Ltd.
WILLAMAGOR-EQ.NS,WILLIAMSON MAGOR & COMPANY LIMI
WELSYNTEX.NS,WELSPUN SYNTEX
LAXMIMACH-EQ.NS,LAKSHMI MACHINE WORKS LIMITED
WOCKPHARMA.NS,Wockhardt Limited
WOCKPHARMA-EQ.NS,WOCKHARDT INR5
IBWSL-EQ.NS,INDIABULLS WHOLESALE SERVICES L
WEIZMANIND-EQ.NS,WEIZMANN INR10
WHIRLPOOL.NS,Whirlpool of India Limited
WILLAMAGOR.NS,Williamson Magor & Co. Limited
WENDT.NS,Wendt (India) Limited
ZYDUSWELL.NS,Zydus Wellness Limited
WSTCSTPAPR.NS,West Coast Paper Mills Limited
TODAYS-EQ.NS,TODAYS WRITING INS INR10
WELENT.NS,Welspun Enterprises Limited
SSWL.NS,Steel Strips Wheels Limited
WONDERLA.NS,Wonderla Holidays Limited
RFXXII29GR-MF.NS,RELIANCE CAPITAL A FHF XXI SER
XCHANGING-EQ.NS,XCHANGING SOLUTIONS LIMITED
XCHANGING.NS,Xchanging Solutions Limited
UFTFGR12PX-MF.NS,UTI MUTUAL FUND FTI XII-X 1096D
XLENERGY.NS,XL Energy Limited
YESBANK-EQ.NS,YES BANK LIMITED
WINSOME-BE.NS,WINSOME YARNS LTD INR10
WINSOME.NS,Winsome Yarns Limited
ZYLOG.NS,Zylog Systems Limited
ZENSARTEC.NS,Zensar Technologies Limited
HINDZINC.NS,Hindustan Zinc Limited
ZANDUREALT.NS,Zandu Realty Limited
ZENITHEXPO.NS,Zenith Exports Limited
ZENITHEXPO-EQ.NS,ZENITH EXPORTS LTD INR10
ZEELEARN-EQ.NS,ZEE LEARN LIMITED
ZEEL-P1.NS,ZEE ENTERTAIN ENT 6% CUM RED NO
TBZ.NS,Tribhovandas Bhimji Zaveri Limited
ZEEL.NS,Zee Entertainment Enterprises Limited
ZUARIGLOB.NS,Zuari Global Limited
ZICOM-EQ.NS,ZICOM ELECTRONIC SECURITY SYSTE
ZENITHCOMP.NS,Zenith Computers Limited
ZEEMEDIA.NS,Zee Media Corporation Limited
ZANDUREALT-EQ.NS,ZANDU REALTY LIMITED
ZUARI.NS,Zuari Agro Chemicals Limited
ZEELEARN.NS,Zee Learn Limited
ZENTEC.NS,Zen Technologies Limited
ZENTEC-BE.NS,Zen Technologies Limited
ZENTEC-EQ.NS,ZEN TECHNOLOGIES INR1
ZENITHBIR-EQ.NS,ZENITH BIRLA(INDIA INR10
ZODIACLOTH-EQ.NS,ZODIAC CLOTHING COMPANY LIMITED
ZENSARTECH.NS,Zensar Technologies Limited
HINDZINC-EQ.NS,HINDUSTAN ZINC LIMITED
ZODIACLOTH.NS,Zodiac Clothing Company Limited
ZYDUSWELL-EQ.NS,ZYDUS WELLNESS LIMITED
ZICOM.NS,Zicom Electronic Security Systems Limited
AARVEEDEN.NS,Aarvee Denims and Exports Limited
AARTIDRUGS-EQ.NS,AARTI DRUGS LTD INR10
AARTIIND-EQ.NS,AARTI INDUSTRIES LIMITED
AARTIIND.NS,Aarti Industries Limited
AARTIDRUGS.NS,Aarti Drugs Limited
ABB.NS,ABB India Limited
ABCIL.NS,Aditya Birla Chemicals (India) Limited
STYABS.NS,INEOS STYROLUTION INR10
ABFRL.NS,Aditya Birla Fashion and Retail Limited
ABGSHIP.NS,ABG Shipyard Limited
ABHISHEK.NS,Abhishek Corporation Ltd
ABIRLANUVO-EQ.NS,ADITYA BIRLA NUVO LIMITED
ORIENTABRA.NS,Orient Abrasives Limited
ORIENTABRA-EQ.NS,ORIENT ABRASIVES INR1 (POST SUB
ABIRLANUVO.NS,Aditya Birla Nuvo Limited
ABBOTINDIA.NS,Abbott India Limited
ABCIL-EQ.NS,ADITYA BIRLA CHEMICALS (INDIA)
IMPAL.NS,India Motor Parts and Accessories Limited
ACROPETAL-BE.NS,ACROPETAL TECHNOLO INR10
ACCELYA.NS,Accelya Kale Solutions Limited
AFL-EQ.NS,ACCEL FRONTLINE LIMITED
AFL.NS,Accel Frontline Limited
ACE.NS,Action Construction Equipment Limited
ACCELYA-EQ.NS,ACCELYA KALE SOLUT INR10
ACROPETAL.NS,Acropetal Technologies Limited
TREEHOUSE.NS,Tree House Education & Accessories Limited
ACC.NS,ACC Limited
ACROPETAL-EQ.NS,ACROPETAL TECHNOLOGIES LIMITED
VARDHACRLC-EQ.NS,VARDHMAN ACRYLICS INR10
VARDHACRLC.NS,Vardhman Acrylics Limited
AMTL.NS,Advance Metering Technology Limited
ADVANTA.NS,Advanta Limited
ADSL.NS,Allied Digital Services Ltd
ADHUNIK.NS,Adhunik Metaliks Limited
ADANITRANS.NS,Adani Transmissions Limited
ADANIENT.NS,Adani Enterprises Limited
ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited
ADANITRANS-BE.NS,Adani Transmission Ltd
ONELIFECAP.NS,Onelife Capital Advisors Limited
ADFFOODS-EQ.NS,ADF FOODS LIMITED
ADSL-EQ.NS,ALLIED DIGITAL SER INR5
ADHUNIK-EQ.NS,ADHUNIK METALIKS LIMITED
PRESSMN.NS,Pressman Advertising Limited
ADVANIHOTR-EQ.NS,ADVANI HOTELS & RE INR2.00
ADLABS-EQ.NS,ADLABS ENTERTAINME INR10
PFRL.NS,Aditya Birla Fashion and Retail Limited
ADI-EQ.NS,ADI FINECHEM LTD INR10
ADORWELD.NS,Ador Welding Limited
PRESSMN-EQ.NS,PRESSMAN ADVERTISI INR2
BIRLAMONEY.NS,Aditya Birla Money Limited
ADANIPOWER.NS,Adani Power Limited
SPARC.NS,Sun Pharma Advanced Research Company Limited
SDAFIIIGR-MF.NS,SBI MUTUAL FUND SBI DUAL ADVANT
ADLABS.NS,Adlabs Entertainment Limited
SABTN-EQ.NS,SRI ADHIKARI BROTHERS TELEVISIO
AEGISCHEM.NS,Aegis Logistics Limited
AFTEK.NS,Aftek Limited
AFTEK-BZ.NS,AFTEK LIMITED
AFTEK-BE.NS,AFTEK-BE.NS
ARIES.NS,Aries Agro Limited
REIAGROLTD-EQ.NS,REI AGRO LTD INR1
IFBAGRO.NS,IFB Agro Industries Limited
GREENFIRE.NS,Proseed India Limited
ATFL.NS,Agro Tech Foods Limited
AGRODUTCH.NS,Agro Dutch Industries Limited
AGCNET.NS,AGC Networks Limited
NATNLSTEEL-EQ.NS,NATIONAL STEEL & A INR10
AGRITECH.NS,Agri-Tech (India) Ltd
ARIES-EQ.NS,ARIES AGRO LIMITED
NATNLSTEEL-BE.NS,NATIONAL STEEL & AGRO IND
GREENFIRE-EQ.NS,GREEN FIRE AGRI CO INR1
AGARIND-EQ.NS,AGARWAL INDUSTRIAL INR10
ATFL-EQ.NS,AGRO TECH FOODS LIMITED
JMA-EQ.NS,JULLUNDUR MOTOR AG INR10
JAYAGROGN-EQ.NS,JAYANT AGRO ORGANICS LIMITED
HATSUN-EQ.NS,HATSUN AGRO PRODUC INR1
AGRITECH-BE.NS,Agri-Tech (India) Limited
AGARIND.NS,Agarwal Industrial Corporation Ltd.
REIAGROLTD-BE.NS,REI AGRO LTD INR1
AGRITECH-EQ.NS,AGRI-TECH (INDIA) INR10
GOKULAGRO.NS,Gokul Agro Resources Limited
HATSUN.NS,Hatsun Agro Product Limited
DHANUKA.NS,Dhanuka Agritech Limited
JVLAGRO.NS,JVL Agro Industries Limited
AGRODUTCH-BE.NS,AGRO DUTCH INDUSTRIES LTD
REIAGROLTD.NS,REI Agro Limited
NATNLSTEEL.NS,National Steel and Agro Industries Limited
AHLWEST.NS,Asian Hotels (West) Limited
AHMEDFORG.NS,Metalyst Forgings Limited
AHIMSA-SO.NS,AHIMSA INDUSTRIES INR10
AHIMSA-SQ.NS,AHIMSA INDUSTRIES INR10
AHIMSA-SM.NS,AHIMSA INDUSTRIES INR10
AHIMSA-SL.NS,AHIMSA INDUSTRIES INR10
AHIMSA-SP.NS,AHIMSA INDUSTRIES INR10
AHLUCONT.NS,Ahluwalia Contracts (India) Limited
AHLEAST.NS,Asian Hotels (East) Limited
AHIMSA-SI.NS,AHIMSA INDUSTRIES INR10
AHIMSA-ST.NS,AHIMSA INDUSTRIES INR10
AICHAMP.NS,AI Champdany Industries Limited
AIAENG.NS,AIA Engineering Limited
AICHAMP-EQ.NS,AI CHAMPDANY INDUS INR5
JETAIRWAYS.NS,Jet Airways (India) Limited
AIFL.NS,Ashapura Intimates Fashion Limited
KFA-BZ.NS,KINGFISHER AIRLINES LTD
AIFL-EQ.NS,ASHAPURA INTIMATES INR10
AIL.NS,GE Power India Limited
AJMERA.NS,Ajmera Realty & Infra India Limited
AJANTPHARM.NS,Ajanta Pharma Limited
AKZOINDIA.NS,Akzo Nobel India Limited
AKZOINDIA-EQ.NS,AKZO NOBEL INDIA LIMITED
AKSHOPTFBR.NS,Aksh Optifibre Limited
ALLSEC.NS,Allsec Technologies Limited
ALOKTEXT.NS,Alok Industries Limited
ALKEM.NS,Alkem Laboratories Limited
METKORE.NS,Metkore Alloys & Industries Limited
GUJALKALI.NS,Gujarat Alkalies and Chemicals Limited
MANAKALUCO-EQ.NS,MANAKSIA ALUMINIUM INR1
MANAKALUCO-BE.NS,Manak Aluminium Co. Ltd.
SHAHALLOYS-EQ.NS,SHAH ALLOYS INR10
IMFA.NS,Indian Metals and Ferro Alloys Limited
SALSTEEL.NS,S.A.L. Steel Limited
ALICON.NS,Alicon Castalloy Limited
ALPA-EQ.NS,ALPA LABORATORIES INR10
ALLSEC-EQ.NS,ALLSEC TECHNOLOGIE INR10
IMFA-EQ.NS,INDIAN METALS & FERRO ALLOYS LI
ALBK.NS,Allahabad Bank
APLLTD.NS,Alembic Pharmaceuticals Limited
ALOKTEXT-EQ.NS,ALOK INDUSTRIES LIMITED
SHAHALLOYS.NS,Shah Alloys Limited
CHEMFALKAL-EQ.NS,CHEMFAB ALKALIS LIMITED
GAL-EQ.NS,GYSCOAL ALLOYS LIMITED
ALKALI.NS,Alkali Metals Limited
ALANKIT.NS,Alankit Limited
CHEMFALKAL.NS,Chemfab Alkalis Limited
ALEMBICLTD.NS,Alembic Limited
NATIONALUM.NS,National Aluminium Company Limited
ALLCARGO.NS,Allcargo Logistics Limited
MAITHANALL.NS,Maithan Alloys Limited
GAL.NS,Gyscoal Alloys Limited
ALMONDZ-EQ.NS,ALMONDZ GLOBAL SEC INR6
ALPA.NS,Alpa Laboratories Limited
ALKEM-EQ.NS,ALKEM LAB LTD INR2
ESSDEE.NS,Ess Dee Aluminium Limited
MANAKALUCO.NS,MANAKSIA ALUMINIUM INR1
ALPHAGEO-EQ.NS,ALPHAGEO (INDIA) LIMITED
ALPSINDUS-EQ.NS,ALPS INDUSTRIES LIMITED
MAANALU.NS,Maan Aluminium Limited
ALCHEM.NS,Alchemist Limited
PARAL-BZ.NS,PAREKH ALUM. LTD
ALKALI-EQ.NS,ALKALI METALS LIMITED
ALPA-BE.NS,ALPA LABORATORIES INR10
SHAHALLOYS-BE.NS,SHAH ALLOYS INR10
ALPSINDUS.NS,Alps Industries Limited
ALANKIT-EQ.NS,ALANKIT LIMITED INR1
ALPINEHOU-BE.NS,ALPINEHOU-BE.NS
ALKYLAMINE.NS,Alkyl Amines Chemicals Limited
METKORE-EQ.NS,METKORE ALLOYS & INDUSTRIES LIM
ALPHAGEO.NS,Alphageo (India) Limited
ALSTOMT&D.NS,GE T&D India Limited
GAEL.NS,Gujarat Ambuja Exports Limited
BANARISUG.NS,Bannari Amman Sugars Limited
AMTEKAUTO.NS,Amtek Auto Limited
AMBIKCO.NS,Ambika Cotton Mills Limited
ASIL-EQ.NS,AMIT SPINNING IND INR5.00
ASIL-BE.NS,ASIL-BE.NS
BASML-EQ.NS,BANNARI AMMAN SPIN INR10
AMRUTANJAN-EQ.NS,AMRUTANJAN HEALTH CARE LIMITED
AMTEKINDIA-BE.NS,AMTEK INDIA LIMITED
BASML.NS,Bannari Amman Spinning Mills Limited
ASIL.NS,Amit Spinning Industries Limited
AMBUJACEM.NS,Ambuja Cements Limited
AMTEKINDI.NS,Castex Technologies Limited
AMDIND.NS,AMD Industries Limited
AMARAJABAT-EQ.NS,AMARA RAJA BATTERI INR1
AMRUTANJAN.NS,Amrutanjan Health Care Limited
GAEL-EQ.NS,GUJARAT AMBUJA EXPORTS LIMITED
BALAMINES.NS,Balaji Amines Limited
AMARAJABAT.NS,Amara Raja Batteries Limited
AMTL-EQ.NS,ADVANCE METERING T INR5
AMRUTANJAN-BE.NS,AMRUTANJAN HEALTH INR2
AMLSTEEL-BE.NS,AMLSTEEL-BE.NS
MRPL.NS,Mangalore Refinery and Petrochemicals Limited
LOTUSEYE.NS,Lotus Eye Hospital and Institute Limited
IOLCP.NS,IOL Chemicals and Pharmaceuticals Limited
ANSALAPI.NS,Ansal Properties & Infrastructure Limited
ANIKINDS.NS,Anik Industries Limited
ANANTRAJ.NS,Anant Raj Limited
ANANDAMRUB.NS,The Anandam Rubber Company Limited
DALMIASUG-EQ.NS,DALMIA BHARAT SUGAR AND INDUSTR
CYBERTECH-EQ.NS,CYBERTECH SYSTEMS AND SOFTWARE
LAKSHMIEFL-EQ.NS,LAKSHMI ENERGY & F INR2
EUROTEXIND-EQ.NS,EUROTEX INDUSTRIES INR10
DALMIASUG.NS,Dalmia Bharat Sugar and Industries Limited
GOKUL-EQ.NS,GOKUL REFOILS AND SOLVENT LIMIT
ANDHRABANK.NS,Andhra Bank
HELIOSMATH-EQ.NS,HELIOS AND MATHESON INFORMATION
ANDHRACEMT.NS,Andhra Cements Limited
HCIL-EQ.NS,HIMADRI CHEMICALS AND INDUSTRIE
SESHAPAPER.NS,Seshasayee Paper and Boards Limited
ANSALAPI-EQ.NS,ANSAL PROPERTIES & INFRASTRUCTU
RCF.NS,Rashtriya Chemicals And Fertilizers Limited
TAINWALCHM.NS,Tainwala Chemicals and Plastics (India) Limited
EUROTEXIND.NS,Eurotex Industries and Exports Limited
ANANDAMRUB-EQ.NS,THE ANANDAM RUBBER INR10
SHK-EQ.NS,S H KELKAR AND COM INR10
MADHAV.NS,Madhav Marbles and Granites Limited
ANTGRAPHIC.NS,Antarctica Limited
SUTLEJTEX.NS,Sutlej Textiles and Industries Limited
HELIOSMATH.NS,helios and matheson information technology limited
ASAL-EQ.NS,AUTOMOTIVE STAMPINGS AND ASSEMB
IOLCP-EQ.NS,IOL CHEMICALS AND PHARMACEUTICA
HDIL-EQ.NS,HOUSING DEVELOPMENT AND INFRAST
HITACHIHOM-EQ.NS,HITACHI HOME AND LIFE SOLUTIONS
ANDHRSUGAR-EQ.NS,THE ANDHRA SUGARS LIMITED
